Company: Organization Name,Company: Organization Permalink,Company: Industries,Company: Headquarters Location,Company: Description,Company: CB Rank (Organization),Company: Stage,Company: CB Rank (Company),Company: Founded Date,Company: Investor Type,Company: Investment Stage,Company: Number of Investments,Company: Number of Funding Rounds,Company: Funding Status,Company: Last Funding Type,Company: Total Funding Amount,Company: Last Funding Amount,Company: Number Of Investors,Company: Revenue Range,Organization Permalink,Organization Name,Announced Date,Transaction Name,Transaction Link,Number of Investors,Money Raised,Lead Investors
bitsCrunch,bitscrunch,"Analytics, Artificial Intelligence (AI), Blockchain, Machine Learning",Munich,bitsCrunch is an AI enhanced decentralised Blockchain Analytics and Forensics protocol,2390,early_stage_venture,2019,2021-02-01,,,,4,Raised,series_a,10600000,2400000,31,r_00001000,bitscrunch,bitsCrunch,"Jan 23, 2024",Series A - bitsCrunch,https://www.crunchbase.com/funding_round/bitscrunch-series-a--5bdc17ce,7,$2.4M,"Cypher Capital, HashKey Capital"
bitsCrunch,bitscrunch,"Analytics, Artificial Intelligence (AI), Blockchain, Machine Learning",Munich,bitsCrunch is an AI enhanced decentralised Blockchain Analytics and Forensics protocol,2390,early_stage_venture,2019,2021-02-01,,,,4,Raised,series_a,10600000,2400000,31,r_00001000,bitscrunch,bitsCrunch,"Nov 30, 2023",Initial Coin Offering - bitsCrunch,https://www.crunchbase.com/funding_round/bitscrunch-initial-coin-offering--9045205e,1,$3.9M,CoinList
bitsCrunch,bitscrunch,"Analytics, Artificial Intelligence (AI), Blockchain, Machine Learning",Munich,bitsCrunch is an AI enhanced decentralised Blockchain Analytics and Forensics protocol,2390,early_stage_venture,2019,2021-02-01,,,,4,Raised,series_a,10600000,2400000,31,r_00001000,bitscrunch,bitsCrunch,"Jan 1, 2022",Seed Round - bitsCrunch,https://www.crunchbase.com/funding_round/bitscrunch-seed--e1bd8686,17,$3.6M,"Animoca Brands, Coinbase Ventures"
bitsCrunch,bitscrunch,"Analytics, Artificial Intelligence (AI), Blockchain, Machine Learning",Munich,bitsCrunch is an AI enhanced decentralised Blockchain Analytics and Forensics protocol,2390,early_stage_venture,2019,2021-02-01,,,,4,Raised,series_a,10600000,2400000,31,r_00001000,bitscrunch,bitsCrunch,"Jun 1, 2021",Seed Round - bitsCrunch,https://www.crunchbase.com/funding_round/bitscrunch-seed--3b80dff8,6,$750K,Genblock Capital
Claro,claro-12d5,"Artificial Intelligence (AI), Software",Berlin,AI Knowledge Infrastructure,2447,seed,2067,2024-01-01,,,,2,Raised,pre_seed,788502,680046,6,,claro-12d5,Claro,"Feb 14, 2025",Pre Seed Round - Claro,https://www.crunchbase.com/funding_round/claro-12d5-pre-seed--ee405823,6,€650K,Atlas SGR
Claro,claro-12d5,"Artificial Intelligence (AI), Software",Berlin,AI Knowledge Infrastructure,2447,seed,2067,2024-01-01,,,,2,Raised,pre_seed,788502,680046,6,,claro-12d5,Claro,"Jan 25, 2024",Funding Round - Claro,https://www.crunchbase.com/funding_round/claro-12d5-undisclosed--d7b536c6,1,€100K,
Black Semiconductor,black-semiconductor,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Robotics, Semiconductor",Aachen,"Black Semiconductor uses Graphene to create ultra-fast, energy-efficient chip networks, connecting thousands of chips to interact as one.",2461,early_stage_venture,2080,2020-01-01,,,,4,Raised,grant,285940873,247287354,12,,black-semiconductor,Black Semiconductor,"Jun 12, 2024",Series A - Black Semiconductor,https://www.crunchbase.com/funding_round/black-semiconductor-series-a--16791c47,9,€25.7M,"Porsche Ventures, Project A Ventures"
Black Semiconductor,black-semiconductor,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Robotics, Semiconductor",Aachen,"Black Semiconductor uses Graphene to create ultra-fast, energy-efficient chip networks, connecting thousands of chips to interact as one.",2461,early_stage_venture,2080,2020-01-01,,,,4,Raised,grant,285940873,247287354,12,,black-semiconductor,Black Semiconductor,"Jun 12, 2024",Grant - Black Semiconductor,https://www.crunchbase.com/funding_round/black-semiconductor-grant--7d7e4bc5,1,€228.7M,Federal Government of Germany
Black Semiconductor,black-semiconductor,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Robotics, Semiconductor",Aachen,"Black Semiconductor uses Graphene to create ultra-fast, energy-efficient chip networks, connecting thousands of chips to interact as one.",2461,early_stage_venture,2080,2020-01-01,,,,4,Raised,grant,285940873,247287354,12,,black-semiconductor,Black Semiconductor,"Nov 14, 2022",Non Equity Assistance - Black Semiconductor,https://www.crunchbase.com/funding_round/black-semiconductor-non-equity-assistance--017835d5,1,—,Intel Ignite
Black Semiconductor,black-semiconductor,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Robotics, Semiconductor",Aachen,"Black Semiconductor uses Graphene to create ultra-fast, energy-efficient chip networks, connecting thousands of chips to interact as one.",2461,early_stage_venture,2080,2020-01-01,,,,4,Raised,grant,285940873,247287354,12,,black-semiconductor,Black Semiconductor,"Oct 11, 2022",Seed Round - Black Semiconductor,https://www.crunchbase.com/funding_round/black-semiconductor-seed--7a4eece5,4,€11.2M,
TWAICE,twaice,"Artificial Intelligence (AI), Battery, Information Technology, Predictive Analytics, Software",Munich,TWAICE is a battery company developing analytics software that addresses the transparency and predictability of batteries.,2827,early_stage_venture,2399,2018-06-01,,,,6,Raised,series_a,71530046,,9,r_00010000,twaice,TWAICE,"Apr 27, 2022",Series A - TWAICE,https://www.crunchbase.com/funding_round/twaice-series-a--6685c2ea,1,—,
